Канал трафика,Январь,Февраль,Март,Апрель,Май,Июнь,Июль,Август,Сентябрь,Октябрь,Ноябрь,Декабрь
"Я.Директ,р",95000,123302,195000,150000,530222,42000,302111,304223,30000,304923,402934,312432
"VK, таргетинг,р",50323,60323,39429,15341,202341,195493,139248,431357,234098,210928,22145,90232
"СЕО Специалист, зп",100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
"СЕО, внешнее продвижение,р",50320,43212,65432,49126,32945,98421,48732,102938,75162,56124,60981,38475
"Email-рассылка, сервис,р",95000,95000,95000,95000,95000,95000,95000,95000,95000,95000,95000,95000
"whatsapp, рассылка,р",24938,24938,24938,34938,34162,35871,23987,37817,64982,16827,21827,0
"СЕО, контенкт,р",35000,35000,35000,35000,35000,35000,35000,35000,54000,54000,54000,54000
"Я.Дзен,р",0,0,0,0,0,0,500000,300000,0,0,0,0
"Промо-материалы,р",0,200000,0,0,0,0,0,350000,0,0,0,0
"Партнерский маркетинг,р",0,50123,96000,87019,34987,105938,110293,98712,140329,150298,140393,87238
"VK, smm,р",20000,20000,20000,20000,20000,20000,25000,25000,25000,25000,25000,25000
"Колтреккинг,р",75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000
"Трафик менеджер,р",80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,120000
"SMM, специалист",60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,80000
Всего,685581,966898,885799,801424,1299657,942723,1594371,2095047,1033571,1228100,1137280,1077377
